Participant,Task,Trial,Cosine Error,Static Cosine Error,Moving Cosine Error,Euclidean Error,Static Euclidean Error,Moving Euclidean Error,Spatial Precision_Transition,Spatial Precision_Fixation,Spatial Precision_Pursuit,Recalibrated_Euclidean Error,Recalibrated_Static Euclidean Error,Recalibrated_Moving Euclidean Error,Recalibrated_Spatial Precision_Transition,Recalibrated_Spatial Precision_Fixation,Recalibrated_Spatial Precision_Pursuit
p17,worldStabilized_sphere,1.5,3.797524570917106,2.769759825219264,5.017944012196061,4.949107112585196,3.4550989986881135,6.723211026910214,,,,20.880097572482494,20.608505529060004,21.202579350593314,,,
p17,worldStabilized_sphere_VR,1.5,4.54862296492526,3.666223269314184,5.599131863838799,5.916133382637761,4.560789051870687,7.529662220815458,,,,20.774832940580126,20.72750297772145,20.831247821176763,,,
p17,worldStabilized_walking,1.5,4.359166454097891,4.293183252059008,4.378823595696412,6.9464285165547786,7.89578218968243,6.660280603574998,,,,23.353209282175307,22.289732044847476,23.67158807262276,,,
p19,calibration,1.5,1.5236978245270651,1.5236978245270651,,1.5928630360617113,1.5928630360617113,,3.2239986786542376,0.3428839106158882,,3.119155824648197,3.119155824648197,,2.824148742800194,0.30077297230228184,
p19,screenStabilized_headConstrained,1.5,1.5633685927098515,1.727581025958056,1.5142319379885758,1.6097164404405309,1.791940800640519,1.5551901007210047,,,0.5056802314417986,2.918623754186651,4.142294078663651,2.5524539299808993,,,0.44398848493414367
p19,screenStabilized_walking,1.5,2.568662196629016,2.7904951368848074,2.502316312720474,4.032254517268495,3.9789482370470917,4.048129344664934,,,,16.059002526582972,14.629122474990394,16.486676667188775,,,
p19,worldStabilized_bodyConstrained,1.5,1.9461209318240438,2.0464354026097418,1.9161186374572134,2.245187319195236,2.502167774824988,2.1683385024034445,,,,5.3478081040810475,6.553747263811102,4.987122753015407,,,
p19,worldStabilized_sphere,1.5,2.699690102492414,1.9106036540937261,3.6360253904832125,3.656363943023549,2.408370886053023,5.137241293920588,,,,16.509001773668608,16.37242670194812,16.671062739372946,,,
p19,worldStabilized_sphere_VR,1.5,2.8906907263902863,1.9834319183078084,3.97151504360947,3.9344978403427815,2.4960450769958773,5.648092310316775,,,,16.32859664790979,16.160707871878987,16.52868440503193,,,
p19,worldStabilized_walking,1.5,1.8328019232358208,1.4619998973477901,1.9438271920399677,3.1138984801831366,2.3262715252219275,3.349745076556805,,,,18.259579001488458,17.40150558308801,18.51666332889853,,,
p20,calibration,1.5,1.4229399748949643,1.4229399748949643,,1.4932335762154487,1.4932335762154487,,2.550201822086522,0.3236280206445442,,2.530647275302946,2.530647275302946,,2.378077377638933,0.3017488080642071,
p20,screenStabilized_headConstrained,1.5,1.1962240732637768,1.2709410544483517,1.1738710705825186,1.2448392050632202,1.3553265338242775,1.211784824159635,,,0.41767286067700315,1.9091005328057924,2.481244827833952,1.7379327104704982,,,0.38946618748091966
p20,screenStabilized_walking,1.5,2.2654893590365823,2.5436586090577267,2.1823969039177573,3.617307098808618,3.325677124116285,3.7043602532887547,,,,9.412437799060763,9.854980226854508,9.28030530843947,,,
p20,worldStabilized_bodyConstrained,1.5,1.15798634710998,1.05736545954775,1.188088994912531,1.2685016758943228,1.2125155790455207,1.2852509791067066,,,,2.965306224277548,3.48078683577073,2.8110904180690612,,,
p20,worldStabilized_sphere,1.5,2.147432784969081,1.3601750821515624,3.081760608093169,2.930065330949806,1.7268221718706496,4.358090179087706,,,,8.845353001751459,8.5383272408904,9.209735223432716,,,
p20,worldStabilized_sphere_VR,1.5,2.415304872068223,1.506954506560215,3.4982206147829995,3.3001247219301657,1.8899153012593972,4.981320647021496,,,,8.628604161976725,7.986062385888006,9.394586739294576,,,
p20,worldStabilized_walking,1.5,2.248953088720343,2.0725345742039147,2.3017320348914625,3.5181393938991636,2.6765193618915126,3.7699259962726432,,,,9.61403289776403,9.593734738403931,9.620105477295583,,,
p21_incomplete,calibration,1.5,1.73348652969193,1.73348652969193,,1.8494891749566826,1.8494891749566826,,3.0840224237425224,0.6274090190373016,,3.0044969171036042,3.0044969171036042,,2.7658944899888187,0.5690845302219433,
p21_incomplete,screenStabilized_headConstrained,1.5,1.4615677950539088,1.7931797041754036,1.3623598000812733,1.5145334165807651,1.893440799745283,1.401176083113264,,,0.5033628644378246,2.5229383364909594,3.37250695935586,2.2687737623374713,,,0.46106800885219545
p21_incomplete,screenStabilized_walking,1.5,3.457973648675927,4.365627629513586,3.1868234880915987,5.4138582924658145,6.784931605918285,5.003479201114254,,,,14.765524267450653,15.467496095695713,14.554986160417503,,,
p21_incomplete,worldStabilized_bodyConstrained,1.5,1.4892041382192565,1.2320624644914724,1.5661386510590773,1.7064380193643158,1.4894225359374658,1.771362993240722,,,,4.514509335549887,5.5675032432066,4.199367120701062,,,
p21_incomplete,worldStabilized_sphere,1.0,2.47830332652947,1.850164105986993,3.223873519483804,3.3197486682676423,2.2695462572450245,4.566286997065231,,,,12.827005904015149,12.088882123117251,13.703122331314429,,,
p21_incomplete,worldStabilized_sphere_VR,1.5,3.0457868664591676,2.3095473930187818,3.9202006282593134,4.463983164474202,3.0732030616394237,6.115589971274579,,,,13.98619377816596,13.034325190220876,15.116613752908428,,,
p21_incomplete,worldStabilized_walking,1.0,3.710817428327061,4.31670191228487,3.5299898114932686,5.382071439668277,5.329197682577639,5.397851733999787,,,,15.80438852084116,13.701837178706214,16.4318998015153,,,
